ANIO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,DIVORCIOS
2018,II Trim,Guainia,Inirida,2
2018,II Trim,Guajira,Riohacha,11
2018,II Trim,Guajira,Demas Municipios,10
2018,II Trim,Guaviare,San Jose Del Guaviare,2
2018,II Trim,Huila,Neiva,63
2018,II Trim,Huila,Demas Municipios,61
2018,II Trim,Magdalena,Santa Marta,23
2018,II Trim,Magdalena,Demas Municipios,14
2018,II Trim,Meta,Villavicencio,26
2018,II Trim,Meta,Demas Municipios,41
2018,II Trim,Narinio,Pasto,104
2018,II Trim,Narinio,Demas Municipios,35
2018,II Trim,Norte De Santander,Cucuta,77
2018,II Trim,Norte De Santander,Demas Municipios,31
2018,II Trim,Putumayo,Mocoa,9
2018,II Trim,Putumayo,Demas Municipios,12
2018,II Trim,Quindio,Armenia,126
2018,II Trim,Quindio,Demas Municipios,74
2018,II Trim,Risaralda,Pereira,221
2018,II Trim,Risaralda,Demas Municipios,51
2018,II Trim,San Andres Y Providencia,San Andres Isla,3
2018,II Trim,San Andres Y Providencia,Demas Municipios,1
2018,II Trim,Santander,Bucaramanga,195
2018,II Trim,Santander,Demas Municipios,125
2018,II Trim,Sucre,Sincelejo,25
2018,II Trim,Sucre,Demas Municipios,23
2018,II Trim,Tolima,Ibague,92
2018,II Trim,Tolima,Demas Municipios,48
2018,II Trim,Valle,Cali,563
2018,II Trim,Valle,Demas Municipios,426
2018,II Trim,Vaupes,Mitu,1
2018,II Trim,Vichada,Puerto Carrenio,2
2018,II Trim,Vichada,Demas Municipios,1
2018,III Trim,Amazonas,Leticia,4
2018,III Trim,Antioquia,Medellin,510
2018,III Trim,Antioquia,Demas Municipios,343
2018,III Trim,Arauca,Arauca,2
2018,III Trim,Arauca,Demas Municipios,9
2018,III Trim,Atlantico,Barranquilla,252
